set	holdout	mode	loci	multi_gene_loci	heldout_supported_loci_any_candidate	observed_loci	null_locus_mean	null_locus_sd	fold_enrichment	empirical_p_upper	n_permutations
systemic_non_neural_exact	abc_nasser_any	nearest_gene_baseline_descriptive	379	150	29	21					
lower_recurrence_exact	ot_l2g_score_ge_0_05	top1_vs_uniform_local_gene_null	543	229	206	190	169.0555	4.018767845683394	1.1238912664775769	0.0004997501249375312	2000
lower_recurrence_exact	ot_l2g_score_ge_0_05	top1_vs_gene_degree_local_gene_null	543	229	206	190	179.5705	3.9390084594758	1.0580802526027382	0.006496751624187906	2000
lower_recurrence_exact	ot_l2g_score_ge_0_05	top1_vs_distance_weighted_local_gene_null	543	229	206	190	178.569	3.6611392995193786	1.0640144705968002	0.0004997501249375312	2000
lower_recurrence_exact	ot_l2g_score_ge_0_05	top3_vs_uniform_local_gene_null	543	229	206	205	200.7975	1.8102851477482986	1.0209290454313424	0.008995502248875561	2000
lower_recurrence_exact	ot_l2g_score_ge_0_05	nearest_gene_baseline_descriptive	543	229	206	182					
moderate_exact_non_eqtl	ot_l2g_score_ge_0_05	top1_vs_uniform_local_gene_null	738	318	291	268	232.4565	5.059635135447213	1.1529038766392852	0.0004997501249375312	2000
moderate_exact_non_eqtl	ot_l2g_score_ge_0_05	top1_vs_gene_degree_local_gene_null	738	318	291	268	249.665	4.838437789216687	1.0734384074660044	0.0004997501249375312	2000
moderate_exact_non_eqtl	ot_l2g_score_ge_0_05	top1_vs_distance_weighted_local_gene_null	738	318	291	268	247.2615	4.381291545629429	1.0838727420160437	0.0004997501249375312	2000
moderate_exact_non_eqtl	ot_l2g_score_ge_0_05	top3_vs_uniform_local_gene_null	738	318	291	289	281.7175	2.4354998624081046	1.0258503642833692	0.0009995002498750624	2000
moderate_exact_non_eqtl	ot_l2g_score_ge_0_05	nearest_gene_baseline_descriptive	738	318	291	251					
observed_exact_non_eqtl	ot_l2g_score_ge_0_05	top1_vs_uniform_local_gene_null	807	341	312	286	248.9175	5.310818783207919	1.1489750620185404	0.0004997501249375312	2000
observed_exact_non_eqtl	ot_l2g_score_ge_0_05	top1_vs_gene_degree_local_gene_null	807	341	312	286	266.851	5.138385008954674	1.0717591464899887	0.0004997501249375312	2000
observed_exact_non_eqtl	ot_l2g_score_ge_0_05	top1_vs_distance_weighted_local_gene_null	807	341	312	286	265.179	4.637533003244084	1.0785167754611038	0.0004997501249375312	2000
observed_exact_non_eqtl	ot_l2g_score_ge_0_05	top3_vs_uniform_local_gene_null	807	341	312	309	302.3405	2.4491955882523464	1.0220264900005125	0.004997501249375313	2000
observed_exact_non_eqtl	ot_l2g_score_ge_0_05	nearest_gene_baseline_descriptive	807	341	312	271					
systemic_non_neural_exact	ot_l2g_score_ge_0_05	top1_vs_uniform_local_gene_null	379	150	151	142	123.089	3.4515265488996145	1.15363679938906	0.0004997501249375312	2000
systemic_non_neural_exact	ot_l2g_score_ge_0_05	top1_vs_gene_degree_local_gene_null	379	150	151	142	130.785	3.283620879919227	1.085751424092977	0.0004997501249375312	2000
systemic_non_neural_exact	ot_l2g_score_ge_0_05	top1_vs_distance_weighted_local_gene_null	379	150	151	142	130.338	3.0063724216352146	1.0894750571590788	0.0004997501249375312	2000
systemic_non_neural_exact	ot_l2g_score_ge_0_05	top3_vs_uniform_local_gene_null	379	150	151	150	146.673	1.6356676631737195	1.0226831114110981	0.033483258370814596	2000
systemic_non_neural_exact	ot_l2g_score_ge_0_05	nearest_gene_baseline_descriptive	379	150	151	135					
lower_recurrence_exact	standalone_e2g_interval	top1_vs_uniform_local_gene_null	543	229	180	136	124.9665	4.574258373751412	1.0882916621654604	0.01249375312343828	2000
lower_recurrence_exact	standalone_e2g_interval	top1_vs_gene_degree_local_gene_null	543	229	180	136	139.725	4.526877655808176	0.9733404902487028	0.8185907046476761	2000
lower_recurrence_exact	standalone_e2g_interval	top1_vs_distance_weighted_local_gene_null	543	229	180	136	140.6565	4.439860800967299	0.9668945267371221	0.8755622188905547	2000
lower_recurrence_exact	standalone_e2g_interval	top3_vs_uniform_local_gene_null	543	229	180	171	171.3965	2.3649702518522453	0.9976866505442059	0.6506746626686657	2000
lower_recurrence_exact	standalone_e2g_interval	nearest_gene_baseline_descriptive	543	229	180	160					
moderate_exact_non_eqtl	standalone_e2g_interval	top1_vs_uniform_local_gene_null	738	318	242	179	160.626	5.427324564273173	1.1143899493232727	0.0009995002498750624	2000
moderate_exact_non_eqtl	standalone_e2g_interval	top1_vs_gene_degree_local_gene_null	738	318	242	179	181.3525	5.447392109110119	0.9870280255303897	0.7061469265367316	2000
moderate_exact_non_eqtl	standalone_e2g_interval	top1_vs_distance_weighted_local_gene_null	738	318	242	179	185.2045	5.172915935875995	0.9664991941340518	0.9065467266366817	2000
moderate_exact_non_eqtl	standalone_e2g_interval	top3_vs_uniform_local_gene_null	738	318	242	227	226.8285	3.03771321898569	1.000756077829726	0.5402298850574713	2000
moderate_exact_non_eqtl	standalone_e2g_interval	nearest_gene_baseline_descriptive	738	318	242	216					
observed_exact_non_eqtl	standalone_e2g_interval	top1_vs_uniform_local_gene_null	807	341	271	201	181.6405	5.794656916020758	1.1065814066796777	0.0009995002498750624	2000
observed_exact_non_eqtl	standalone_e2g_interval	top1_vs_gene_degree_local_gene_null	807	341	271	201	203.8855	5.663075574498476	0.9858474486905641	0.7211394302848576	2000
observed_exact_non_eqtl	standalone_e2g_interval	top1_vs_distance_weighted_local_gene_null	807	341	271	201	208.3165	5.392760766466669	0.9648779621393409	0.9255372313843079	2000
observed_exact_non_eqtl	standalone_e2g_interval	top3_vs_uniform_local_gene_null	807	341	271	254	253.5925	3.1607655669923926	1.0016069087216697	0.5197401299350325	2000
observed_exact_non_eqtl	standalone_e2g_interval	nearest_gene_baseline_descriptive	807	341	271	239					
systemic_non_neural_exact	standalone_e2g_interval	top1_vs_uniform_local_gene_null	379	150	139	108	100.697	3.8107022615080983	1.0725245042056863	0.03648175912043978	2000
systemic_non_neural_exact	standalone_e2g_interval	top1_vs_gene_degree_local_gene_null	379	150	139	108	110.8525	3.8509945247188693	0.9742676078572878	0.8105947026486756	2000
systemic_non_neural_exact	standalone_e2g_interval	top1_vs_distance_weighted_local_gene_null	379	150	139	108	111.4475	3.659499927566597	0.9690661522241414	0.8495752123938031	2000
systemic_non_neural_exact	standalone_e2g_interval	top3_vs_uniform_local_gene_null	379	150	139	135	132.687	1.8960032737859664	1.017432001627891	0.16691654172913542	2000
systemic_non_neural_exact	standalone_e2g_interval	nearest_gene_baseline_descriptive	379	150	139	122					
