model	unit	outcome	term	scale	n	events	odds_ratio	ci95_low	ci95_high	wald_p	converged
external_abc_enhancer_gene	evidence_disjoint_exact_500kb_locus	abc_nasser_locus	max_n_families	per_1_sd	807	52	0.9106908378068097	0.4899623899176794	1.6926968663954243	0.7673796689558381	True
external_abc_enhancer_gene	evidence_disjoint_exact_500kb_locus	abc_nasser_locus	max_n_traits	per_1_sd	807	52	0.868064447811589	0.5127783101264867	1.4695159110153557	0.5983327880440559	True
external_abc_enhancer_gene	evidence_disjoint_exact_500kb_locus	abc_nasser_locus	lower_recurrence_locus	binary	807	52	1.9156212493226583	0.6583274985485547	5.574132599575517	0.2329261144412308	True
external_abc_enhancer_gene	evidence_disjoint_exact_500kb_locus	abc_nasser_locus	systemic_non_neural_locus	binary	807	52	1.1534551888155853	0.5607443792405584	2.3726655528986287	0.6980492620562915	True
external_abc_enhancer_gene	evidence_disjoint_exact_500kb_locus	abc_nasser_locus	strict_variant_count	per_1_sd	807	52	1.1439109668817604	0.8071679663471806	1.621140028727968	0.44977210678588875	True
external_abc_enhancer_gene	evidence_disjoint_exact_500kb_locus	abc_nasser_locus	max_qtl_gene_count	per_1_sd	807	52	0.5930982761184505	0.35612501982316835	0.9877586396747545	0.04471471927687511	True
external_abc_enhancer_gene	evidence_disjoint_exact_500kb_locus	abc_nasser_locus	max_screen_gene_count	per_1_sd	807	52	1.1402942343423785	0.8505487070651414	1.5287436569754105	0.3800792602869951	True
external_abc_enhancer_gene	evidence_disjoint_exact_500kb_locus	abc_nasser_locus	max_score	per_1_sd	807	52	1.3033580291943139	0.9472266460860292	1.7933850987876476	0.10372678833368891	True
external_abc_enhancer_gene	evidence_disjoint_exact_500kb_locus	abc_nasser_locus	max_candidate_gene_count	per_1_sd	807	52	1.235570149028078	0.8598138262985305	1.775539711592419	0.25282789886689216	True
external_abc_enhancer_gene	evidence_disjoint_exact_500kb_locus	abc_nasser_locus	ot_ld_proxy_locus	binary	807	52	1.172946189249361	0.612397661826048	2.246583957835873	0.6304524945741135	True
external_multi_source_support	evidence_disjoint_exact_500kb_locus	external_multi_source_locus	moderate_locus	binary	807	50	0.8632634000990688	0.08817594531414054	8.451553258608449	0.8994769647020968	True
external_multi_source_support	evidence_disjoint_exact_500kb_locus	external_multi_source_locus	family_breadth_ge5	binary	807	50	1.0036235784895549	0.34558513638134336	2.914651648063637	0.9946944130035014	True
external_multi_source_support	evidence_disjoint_exact_500kb_locus	external_multi_source_locus	max_n_families	per_1_sd	807	50	1.2071210949685758	0.653245826752804	2.2306171401987895	0.547938761715951	True
external_multi_source_support	evidence_disjoint_exact_500kb_locus	external_multi_source_locus	max_n_traits	per_1_sd	807	50	0.8336143880287339	0.5184952573889555	1.34024938131155	0.45254563609205145	True
external_multi_source_support	evidence_disjoint_exact_500kb_locus	external_multi_source_locus	lower_recurrence_locus	binary	807	50	1.7296560749200638	0.5787572892860418	5.169196471285005	0.32662215387889304	True
external_multi_source_support	evidence_disjoint_exact_500kb_locus	external_multi_source_locus	systemic_non_neural_locus	binary	807	50	0.8974182405594684	0.39757957469322236	2.025656119558651	0.7944239963956082	True
external_multi_source_support	evidence_disjoint_exact_500kb_locus	external_multi_source_locus	strict_variant_count	per_1_sd	807	50	1.2313765007603552	0.9099520270088547	1.666338489963122	0.1774720431868949	True
external_multi_source_support	evidence_disjoint_exact_500kb_locus	external_multi_source_locus	max_qtl_gene_count	per_1_sd	807	50	1.0716470221244725	0.7902977058144609	1.4531578816171677	0.6560723124367092	True
external_multi_source_support	evidence_disjoint_exact_500kb_locus	external_multi_source_locus	max_screen_gene_count	per_1_sd	807	50	0.9233672347291063	0.6520473538813194	1.3075845566984101	0.6533158409378437	True
external_multi_source_support	evidence_disjoint_exact_500kb_locus	external_multi_source_locus	max_score	per_1_sd	807	50	1.391148767106173	0.9937516081830741	1.947463406634805	0.05441980336989548	True
external_multi_source_support	evidence_disjoint_exact_500kb_locus	external_multi_source_locus	max_candidate_gene_count	per_1_sd	807	50	1.3666289170525228	1.0155212947793775	1.8391289345930502	0.0392399144156429	True
external_multi_source_support	evidence_disjoint_exact_500kb_locus	external_multi_source_locus	ot_ld_proxy_locus	binary	807	50	4.945753077997363	2.500587336160896	9.781891300015177	4.348515252963564e-06	True
external_full_stack_support	evidence_disjoint_exact_500kb_locus	full_stack_locus	moderate_locus	binary	807	50	0.8632634000990688	0.08817594531414054	8.451553258608449	0.8994769647020968	True
external_full_stack_support	evidence_disjoint_exact_500kb_locus	full_stack_locus	family_breadth_ge5	binary	807	50	1.0036235784895549	0.34558513638134336	2.914651648063637	0.9946944130035014	True
external_full_stack_support	evidence_disjoint_exact_500kb_locus	full_stack_locus	max_n_families	per_1_sd	807	50	1.2071210949685758	0.653245826752804	2.2306171401987895	0.547938761715951	True
external_full_stack_support	evidence_disjoint_exact_500kb_locus	full_stack_locus	max_n_traits	per_1_sd	807	50	0.8336143880287339	0.5184952573889555	1.34024938131155	0.45254563609205145	True
external_full_stack_support	evidence_disjoint_exact_500kb_locus	full_stack_locus	lower_recurrence_locus	binary	807	50	1.7296560749200638	0.5787572892860418	5.169196471285005	0.32662215387889304	True
external_full_stack_support	evidence_disjoint_exact_500kb_locus	full_stack_locus	systemic_non_neural_locus	binary	807	50	0.8974182405594684	0.39757957469322236	2.025656119558651	0.7944239963956082	True
external_full_stack_support	evidence_disjoint_exact_500kb_locus	full_stack_locus	strict_variant_count	per_1_sd	807	50	1.2313765007603552	0.9099520270088547	1.666338489963122	0.1774720431868949	True
external_full_stack_support	evidence_disjoint_exact_500kb_locus	full_stack_locus	max_qtl_gene_count	per_1_sd	807	50	1.0716470221244725	0.7902977058144609	1.4531578816171677	0.6560723124367092	True
external_full_stack_support	evidence_disjoint_exact_500kb_locus	full_stack_locus	max_screen_gene_count	per_1_sd	807	50	0.9233672347291063	0.6520473538813194	1.3075845566984101	0.6533158409378437	True
external_full_stack_support	evidence_disjoint_exact_500kb_locus	full_stack_locus	max_score	per_1_sd	807	50	1.391148767106173	0.9937516081830741	1.947463406634805	0.05441980336989548	True
external_full_stack_support	evidence_disjoint_exact_500kb_locus	full_stack_locus	max_candidate_gene_count	per_1_sd	807	50	1.3666289170525228	1.0155212947793775	1.8391289345930502	0.0392399144156429	True
external_full_stack_support	evidence_disjoint_exact_500kb_locus	full_stack_locus	ot_ld_proxy_locus	binary	807	50	4.945753077997363	2.500587336160896	9.781891300015177	4.348515252963564e-06	True
